File                    DER   MISS     FA   CONF    JER
vbjlx                 0.754  1.479  0.162 338.211  0.814
jxydp                 0.002  0.181  0.000  0.000  0.002
jsdmu                 0.133  3.370  2.169 10.757  0.708
whmpa                 0.067  0.009  0.000  3.071  0.245
sikkm                 0.005  0.297  0.000  0.000  0.005
qzwxa                 0.098  0.462  2.706 17.756  0.572
mkrcv                 0.749  5.308  2.173 449.848  0.693
gmmwm                 0.136  0.671 13.950 23.068  0.671
yukhy                 0.155 10.741  2.773 95.592  0.455
xlsme                 0.145 21.099 84.338 39.311  0.581
tjkfn                 0.088  1.747  4.885 49.115  0.550
qpylu                 0.292  4.061  0.232  5.206  0.481
bvqnu                 0.205  6.909  8.496 98.003  0.625
ydlfw                 0.193  0.467  0.080 42.899  0.240
otmpf                 0.041  6.779  3.586  6.513  0.459
dhorc                 0.060  1.624  1.242 14.816  0.071
bxpwa                 0.036  4.376  1.157  8.991  0.364
kbkon                 0.368  0.000  0.050 56.670  0.775
epygx                 0.142 26.302 67.161 53.544  0.576
gcvrb                 0.186  8.903 55.840 141.485  0.826
cyyxp                 0.154  5.594  2.743 13.445  0.787
kzmyi                 0.067  9.999 16.931 15.969  0.182
vtzqw                 0.341 41.120 25.087 104.815  0.738
vgevv                 0.551 30.052 25.831 463.781  0.849
dgvwu                 0.180 31.968 14.427 92.956  0.430
gpjne                 0.068  0.079  0.455 12.083  0.437
auzru                 0.066  2.037  4.141 27.637  0.133
qeejz                 0.345  5.908 15.831 70.733  0.632
nxgad                 0.347  0.668  0.020 69.791  0.759
jeymh                 0.241  6.105 17.664 247.041  0.582
eqsta                 0.445 39.140 13.453 371.568  0.872
qadia                 0.160 15.519  9.392 16.777  0.356
ywcwr                 0.035  0.399  1.070  3.103  0.364
nprxc                 0.411 18.081 13.331 120.250  0.809
qouur                 0.004  0.117  2.198  2.031  0.502
guvqf                 0.343 31.895 51.208 234.869  0.854
xmyyy                 0.329 20.945 13.118 45.773  0.581
bidnq                 0.786 13.019 12.114 867.270  0.765
mgpok                 0.094 18.496  3.659 28.267  0.581
kdfqk                 0.795 39.383 10.999 636.886  0.736
rxulz                 0.617 14.548 53.808 611.056  0.516
jxpom                 0.540 26.778 10.545 225.526  0.864
aepyx                 0.357 12.833  7.753 32.369  0.523
syiwe                 0.086  1.184  1.042  3.284  0.137
jdrwl                 0.130  4.109  7.838 146.853  0.442
crylr                 0.468  6.345  8.045 58.569  0.779
zfzlc                 0.096 15.718  8.877 88.801  0.777
dzsef                 0.001  0.163  0.070  0.000  0.003
jjvkx                 0.216  1.014  4.315 34.231  0.403
nlvdr                 0.126 31.139 47.965 51.858  0.197
erslt                 0.282  0.863  5.704 25.659  0.564
isrps                 0.234 11.648  1.540 28.063  0.357
ikhje                 0.192  9.961  9.209 147.706  0.636
tiams                 0.019  0.168  1.344  1.280  0.220
sldwj                 0.271  6.197  2.586 27.192  0.278
djqif                 0.035  2.496  1.259 12.185  0.272
sbrmv                 0.445  3.893  0.000 99.109  0.747
qjgpl                 0.466  2.937  0.858 48.957  0.594
gwloo                 0.102 20.576 35.547 22.285  0.773
eqttu                 0.114  9.071  0.351  8.880  0.409
pnyir                 0.305  5.833  1.479 130.788  0.337
bxcfq                 0.135  0.298  0.036 26.883  0.589
femmv                 0.192  4.202  1.979 25.596  0.463
jzkzt                 0.811 10.877 45.438 890.130  0.892
wcxfk                 0.382  0.213  0.060 83.987  0.447
olzkb                 0.191  3.680  2.921 33.460  0.716
ytula                 0.079 57.011  9.663 12.105  0.302
ldkmv                 0.198  7.203  0.419 94.208  0.518
ralnu                 0.395  3.996  4.871 58.870  0.619
kmunk                 0.180  3.799  6.198 59.991  0.628
eziem                 0.326  1.180  0.248 53.968  0.525
eauve                 0.899  1.567 10.771 1118.924  0.875
uevxo                 0.105  0.513  1.453 21.768  0.264
ooxlj                 0.216  3.979 15.441 13.032  0.797
fqrnu                 0.349  8.949  2.776 48.182  0.688
qxana                 0.645 20.757 21.201 679.635  0.365
dzxut                 0.313  0.290 13.215 36.975  0.785
ybhwz                 0.094  0.292  9.138 37.375  0.418
wibky                 0.084  5.229  8.906  6.048  0.538
byapz                 0.271  8.999 12.944 91.259  0.761
ylgug                 0.093 57.179 22.731 21.032  0.832
szsyz                 0.200  4.066  0.311  5.751  0.657
jyirt                 0.150  9.206  0.197  2.838  0.208

Average over all files:
Average False Alarm: 10.866
Average Missed Speech: 12.114
Average Confusion: 94.769
Average DER:  0.251
Average JER:  0.523
